record_no_	tripno	otarms	empst	occ	jbsite	wkweek	female	age	age1	age2	age3	dweltp	pinc	hhsize	nveh	weight	nwkrs	nldr	hinc	trdist	mindst	minsub	dsttrm	nterm	gacca	gegrw	gwait	gfare	lsdum	twait	taccw	tegrw	tfare	mcost	mdist	mspace	lnlots	zcost	zdist	zspace	zcd	zcs	zds	mdpri	mspri	lnlpri	zdpri	zspri	zdspri	free	aavail	tavail	dlic	ivtt1	ivtt2	ivtt3	ivtt4	ivtt5	avail1	avail1bis	avail2	avail3	avail4	avail5	choice
323	13423	19	2	3	6	3	0	55	0	0	1	4	28	4	1	0.89	-50	-50	0	1	507	12	13	21	9999	9999	9999	9999	9999	0.71	4.91	4.37	0.71	5.46	717	4.75	3.89	3.69	43062.53	0.83	68.18	-0.24	5.3	0	0	9.99	0	0	0	0	1	1	1	4	4	1.05	9999	9999	1	1	1	1	0	0	1
358	14952	7	2	1	1	1	1	56	0	0	1	4	18	2	9	0.8	1	0	30	2	323	3	13	21	9999	9999	9999	9999	9999	2.78	3.32	2.62	0.71	6.64	599	4.78	4.5	6.02	66019.63	1.31	-128.82	0.09	82.98	62	3.45	0.69	784	1.33	-32.24	0	5	1	1	6	6	8.55	9999	9999	1	1	1	1	0	0	1
339	14071	20	2	1	1	1	1	33	0	1	0	4	28	1	9	0.69	1	1	28	3	55	17	13	21	9999	9999	9999	9999	9999	2.84	2.64	3.31	0.71	5.83	577	4.99	3.85	4.43	59736.13	0.85	-164.71	0.03	-16.88	0	0	9.99	0	0	0	0	5	1	1	7	7	7.33	9999	9999	1	1	1	1	0	0	1
346	14537	7	2	1	1	1	1	54	0	1	0	4	28	2	9	0.8	2	0	0	3	296	9	13	21	9999	9999	9999	9999	9999	3.03	2.72	0.7	0.71	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	0	5	1	1	8	8	10.72	9999	9999	1	1	1	1	0	0	1
354	14881	7	2	1	1	1	1	22	1	0	0	4	18	2	9	0.8	2	1	35	2	306	8	12	21	9999	9999	9999	9999	9999	1.58	4.18	4.32	0.71	5.78	730	5.12	3.22	3.98	47203.76	0.93	80.48	0	27.06	53	2.38	1.1	274.89	0.31	-9.15	0	5	1	1	10	10	2.45	9999	9999	1	1	1	1	0	0	1
355	14883	7	2	1	1	1	1	25	0	1	0	4	18	2	9	0.8	2	1	35	2	72	14	11	21	9999	9999	9999	9999	9999	1	1.19	4.32	0.71	6.38	672	5.03	3.04	5.68	51745.52	0.76	-270.83	0.47	30.36	0	0	9.99	0	0	0	0	5	1	1	10	10	3.36	9999	9999	1	1	1	1	0	0	1
299	12425	43	2	8	1	2	0	62	0	0	1	1	43	1	1	1.16	1	1	43	6	994	14	12	22	9999	9999	9999	9999	9999	9999	9999	9999	0.71	7.64	791	4.82	2.77	6.69	45262.88	1.14	184.05	-1.1	-74.48	65	2.71	2.08	969.98	0.52	13.4	0	5	1	1	11	11	9999	9999	9999	1	1	1	0	0	0	1
300	12437	7	2	1	1	1	1	35	0	1	0	4	18	1	9	0.69	1	0	18	3	201	15	11	21	9999	9999	9999	9999	9999	1	2.8	3.24	0.71	7.5	725	4.94	1.61	10.59	41754.3	0.09	-260.13	-0.14	12.42	78	3.26	1.79	40.47	1.58	3.83	0	4	1	1	11	11	4.23	9999	9999	1	1	1	1	0	0	1
302	12475	56	2	1	1	1	1	32	0	1	0	4	18	1	9	0.69	1	1	18	5	496	3	14	21	9999	9999	9999	9999	9999	2.64	2.79	1.71	0.71	6.27	612	4.53	4.33	7.23	51933.03	1.1	-57.49	-0.07	77.83	86	1.87	0.69	12.25	0.01	-0.27	0	5	1	1	13	13	10.04	9999	9999	1	1	1	1	0	0	1
311	12894	200	2	4	2	1	0	30	0	1	0	2	8	1	9	0.53	1	1	8	6	469	10	13	21	9999	9999	9999	9999	9999	1.09	2.13	2.16	0.71	5.67	607	4.66	4.62	7.26	58276.24	1.2	138.42	0.68	24.22	84	3.26	0	0	0	0	0	5	1	1	15	15	18.34	9999	9999	1	1	1	1	0	0	1
316	13198	81	2	8	6	1	0	27	0	1	0	4	23	2	9	0.8	1	1	25	6	440	11	12	22	9999	9999	9999	9999	9999	2.27	3.07	5.01	0.71	6.1	597	4.96	4.14	4.07	60240.48	1.12	-163.23	-0.36	-35.73	0	0	9.99	0	0	0	0	5	1	1	15	15	17.08	9999	9999	1	1	1	1	0	0	1
313	13155	202	2	4	2	1	1	40	0	1	0	2	18	3	9	0.64	2	1	43	7	993	11	12	21	9999	9999	9999	9999	9999	2.06	2.04	3.19	0.71	5.19	724	4.52	3.71	5.6	72912.44	0.96	-103.06	0.21	19.11	91	2.36	1.1	2	0.13	-0.06	0	5	1	1	18	18	24.47	9999	9999	1	1	1	1	0	0	1
312	13153	202	2	2	4	6	0	42	0	1	0	2	23	3	9	0.64	2	1	43	6	180	11	12	21	9999	9999	9999	9999	9999	2.02	0.93	3.19	0.71	6.39	662	4.82	4.37	4.08	59305.07	1.18	4.04	-0.08	-65.13	53	4.08	0	0	0	0	0	5	1	1	19	19	21.08	9999	9999	1	1	1	1	0	0	1
